transaction_id,order_id,payment_date,payment_amount,payment_method
1,2626,2022-10-22 04:21:03,658,Credit Card
2,890,2023-08-29 01:58:43,596,PayPal
3,4639,2023-07-12 08:21:14,661,Bank Transfer
4,2911,2022-10-07 10:13:40,304,Bank Transfer
5,3806,2023-07-19 01:01:28,153,PayPal
6,1005,2023-04-12 12:20:51,41,Credit Card
7,4289,2022-11-13 04:36:14,458,Bank Transfer
8,373,2022-12-18 18:53:29,37,Credit Card
9,3861,2022-11-19 01:34:53,755,Bank Transfer
10,68,2022-10-14 16:58:27,867,Credit Card
11,2677,2023-02-24 11:08:45,545,PayPal
12,4655,2023-08-17 08:24:59,50,PayPal
13,360,2023-01-09 08:05:12,88,PayPal
14,476,2023-04-01 01:27:14,746,PayPal
15,1280,2023-06-11 16:02:46,243,Credit Card
16,2751,2023-04-20 23:29:33,284,PayPal
17,1720,2022-11-22 20:44:30,42,Credit Card
18,3098,2022-12-01 15:38:39,990,Credit Card
19,4590,2023-04-18 01:37:05,515,Bank Transfer
20,3995,2023-04-03 08:45:05,101,PayPal
21,4841,2023-01-20 00:38:39,772,Bank Transfer
22,4313,2022-11-07 19:08:10,428,PayPal
23,3649,2023-08-12 06:42:26,479,Bank Transfer
24,4690,2023-08-01 09:36:16,649,Bank Transfer
25,1670,2023-08-08 03:06:01,195,Bank Transfer
26,3870,2023-03-14 12:07:28,804,PayPal
27,2053,2023-02-06 17:11:38,853,PayPal
28,186,2023-02-03 03:25:15,19,Credit Card
29,4524,2023-02-11 18:12:08,882,Bank Transfer
30,4233,2022-10-05 20:01:16,195,PayPal
31,1580,2022-12-09 14:56:33,163,Bank Transfer
32,4857,2023-08-31 08:20:56,78,Bank Transfer
33,3749,2023-04-09 17:49:56,348,PayPal
34,727,2023-01-19 03:07:18,985,Bank Transfer
35,4201,2023-06-27 03:00:17,576,Credit Card
36,4321,2023-02-20 18:32:07,801,PayPal
37,4200,2023-07-08 08:52:49,362,Bank Transfer
38,3225,2023-05-28 21:32:08,95,Credit Card
39,1304,2022-10-18 06:47:48,197,Bank Transfer
40,1220,2023-08-12 01:14:01,977,PayPal
41,3869,2023-02-23 07:30:46,63,PayPal
42,2977,2023-03-16 16:24:55,102,Credit Card
43,3830,2023-02-27 02:37:21,16,PayPal
44,1624,2023-02-22 17:37:36,535,PayPal
45,416,2022-11-25 12:10:46,323,Credit Card
46,4197,2023-08-01 11:26:23,712,Bank Transfer
47,1365,2022-12-28 15:04:01,173,Bank Transfer
48,1012,2022-11-09 15:52:08,641,Bank Transfer
49,1764,2023-09-22 22:53:53,894,Credit Card
50,2575,2023-01-24 19:13:55,829,Bank Transfer
51,3174,2023-06-28 06:28:24,291,Bank Transfer
52,4964,2023-04-13 15:48:34,740,Bank Transfer
53,1631,2023-03-04 06:23:24,56,PayPal
54,4194,2023-08-04 08:49:10,265,Credit Card
55,4256,2022-12-05 01:32:05,536,Credit Card
56,4018,2023-05-19 12:02:11,185,Bank Transfer
57,4065,2023-03-08 14:38:28,904,Bank Transfer
58,1479,2023-03-21 16:48:30,643,Credit Card
59,3256,2023-06-04 04:23:10,209,PayPal
60,4382,2023-02-02 02:30:08,453,Bank Transfer
61,4350,2023-02-09 02:41:23,256,Bank Transfer
62,854,2023-02-25 15:22:36,447,Bank Transfer
63,189,2023-07-09 23:15:54,584,Bank Transfer
