order_item_id,order_id,product_id,quantity,unit_price
1,3769,1969,5,634
2,4953,3406,3,431
3,2549,473,8,651
4,3839,1829,10,481
5,1214,1109,7,789
6,2487,2842,3,138
7,1405,1060,1,948
8,520,1847,7,492
9,2605,4256,10,825
10,2240,703,10,876
11,736,2594,3,550
12,194,2074,2,897
13,1938,4116,5,207
14,1738,3209,9,814
15,4978,3475,9,944
16,3029,766,3,364
17,4954,4942,3,479
18,1500,2042,10,713
19,1099,3406,6,702
20,1250,2420,1,100
21,625,778,7,413
22,1953,2103,2,684
23,745,1422,10,296
24,2366,1281,1,312
25,3229,2826,10,964
26,243,4409,1,798
27,3129,3085,2,855
28,2067,2374,2,441
29,1025,1104,3,281
30,3166,2045,4,32
31,4292,1599,9,97
32,2721,4948,9,826
33,745,1279,7,267
34,1518,1692,7,533
35,3881,2654,2,343
36,4728,2972,5,744
37,4431,2264,6,219
38,461,1201,3,288
39,1953,1181,5,297
40,1365,4610,2,728
41,4659,420,3,285
42,4617,4135,6,721
43,45,2618,2,358
44,243,3082,3,208
45,4087,1240,4,265
46,2420,1527,7,167
47,3915,2851,2,23
48,3246,3457,3,936
49,3306,109,8,483
50,1019,2906,3,13
51,4796,4735,9,192
52,430,4730,2,887
53,4260,227,7,792
54,185,4995,4,279
55,1256,2713,4,347
56,2023,1809,10,48
57,908,386,3,443
58,2608,1954,7,615
59,2311,594,6,857
60,1923,677,5,278
61,4476,4272,8,27
62,1255,4201,2,95
63,1070,1501,2,523
64,2416,4724,6,24
65,596,3146,1,926
66,1704,2162,9,705
67,4184,1997,9,932
68,4956,3718,1,743
69,4408,2885,10,380
70,69,3512,3,549
71,480,2258,4,245
72,2909,735,3,195
73,3752,3660,6,506
74,648,1933,4,318
75,2345,1000,6,113
76,3156,3925,6,980
77,3908,2879,7,46
78,2985,553,2,570
79,635,1602,3,855
80,3892,2930,8,874
81,1777,4550,2,779
82,4310,4421,3,42
83,2523,2497,6,822
84,2070,4045,1,176
85,4592,3755,6,541
86,2305,3942,2,925
87,3415,1663,8,687
88,4930,2182,10,959
89,1851,1916,7,842
90,2954,4783,5,480
91,3078,1641,7,505
92,1500,4061,7,312
93,4584,3973,7,723
94,3314,2222,2,562
95,154,2937,3,253
96,1887,4988,8,413
97,1784,4632,8,491
98,3428,2932,8,854
99,2153,1060,10,206
100,3168,3588,9,823
101,2111,3683,3,336
102,642,3491,6,255
103,2945,3209,6,754
104,389,4542,9,997
105,3321,4157,9,327
106,786,2902,3,276
107,841,1874,4,257
108,2957,2130,7,18
109,622,4787,7,376
110,132,2301,2,330
111,3900,3188,5,898
112,3656,687,2,20
113,1790,4772,10,410
114,2691,4185,10,91
115,3528,509,1,705
116,4509,1303,3,65
117,2378,1291,7,179
118,2982,799,4,115
119,313,902,7,290
120,4065,3372,1,56
121,1007,3546,2,190
122,4400,820,5,996
123,1626,865,3,818
124,1613,1869,10,752
125,3546,597,10,586
126,778,2614,10,373
127,2633,1498,8,672
128,2625,867,7,702
129,4199,2384,10,471
130,814,1448,5,43
131,1491,138,4,966
132,2430,605,7,35
133,2910,1940,2,817
134,1542,489,7,146
135,1752,3810,9,729
136,982,3861,6,419
137,2617,2293,10,183
138,3005,3897,3,678
139,3724,1585,8,894
140,331,4303,3,673
141,1334,2635,2,491
142,2041,4261,5,401
143,1439,727,8,181
144,4769,4142,7,809
145,2038,3166,2,640
146,2384,2567,1,733
147,1051,4288,2,395
148,762,816,9,460
149,2689,3739,2,761
150,2887,2142,5,807
151,3465,1985,4,412
152,896,3842,2,879
153,1942,4696,2,63
154,1003,2340,1,403
155,1586,1612,7,978
156,560,4359,7,814
157,2842,5,1,178
158,4268,4747,1,968
159,3204,4806,6,81
160,4044,2051,9,377
161,4239,4417,4,339
162,514,759,3,555
163,1777,3870,2,738
164,1214,1231,6,174
165,3813,986,2,114
166,3049,3390,7,516
167,392,1144,3,228
168,901,1171,1,756
169,4518,1847,6,612
170,1624,430,2,704
171,3335,3779,8,969
172,1721,4278,6,585
173,3959,2766,7,942
174,3920,3039,1,500
175,2580,2126,9,245
176,2813,3901,6,82
177,1948,4149,2,674
178,4071,786,2,801
179,3699,3965,2,484
180,3781,1438,4,869
181,1762,2977,8,917
182,4889,3004,9,372
183,760,4287,9,978
184,4002,945,4,545
185,4575,1721,4,299
186,2194,1026,6,700
187,3322,4416,9,602
188,3698,3072,7,188
189,4113,3424,4,619
190,1999,114,3,504
191,1734,4338,5,812
192,4364,4894,9,510
193,3019,1444,8,588
194,4595,459,8,342
195,4915,3687,5,563
196,1861,2039,2,536
197,4345,4087,8,551
198,4134,3845,2,100
199,1027,3083,6,837
200,3991,3178,2,150
201,2889,4766,6,478
202,3062,3990,10,633
203,1443,576,3,439
204,2511,3243,1,86
205,809,445,4,13
206,3391,2110,7,615
207,4266,2851,6,475
208,2747,734,6,651
209,1213,2553,4,222
210,2788,4432,4,562
211,160,805,7,812
212,4519,244,1,886
213,1685,641,3,599
214,4883,488,9,663
215,4815,2804,10,571
216,304,2656,4,592
217,4169,1252,1,386
218,4756,2696,4,362
219,1771,3502,2,379
220,4051,4303,7,566
221,4395,2471,2,924
222,2779,4451,7,256
223,1298,1251,4,219
224,4247,2154,1,319
225,417,904,5,341
226,2721,1149,9,776
227,4312,2664,5,948
228,4874,3359,4,380
229,766,2085,3,614
230,1118,2312,4,669
231,4716,3485,2,561
232,4873,215,9,743
233,2935,3091,5,988
234,115,2755,10,816
235,4753,4377,3,280
236,3203,4178,1,788
237,2199,951,4,495
238,4705,250,7,990
239,3815,1592,2,467
240,3677,817,1,634
241,4821,3358,9,444
242,652,4071,3,264
243,3436,1926,6,649
244,1279,3755,2,974
245,4308,2868,5,541
246,3732,322,1,685
247,832,655,6,856
248,2835,2611,2,68
249,1904,3232,9,984
250,4459,4440,1,37
251,3361,3015,6,53
252,3748,571,2,802
253,2110,351,8,270
254,1910,3909,3,606
255,2582,3568,10,170
256,394,3815,9,447
257,4321,1523,7,982
258,2705,63,5,748
259,2601,2534,9,665
260,62,4736,2,773
261,67,1858,8,321
262,4678,1480,9,437
263,492,1947,4,815
264,2832,169,6,997
265,1804,3010,5,206
266,929,1809,9,818
267,565,3215,1,524
268,4944,2693,8,256
269,3086,1392,5,362
270,2752,500,1,66
271,2978,1893,6,732
272,305,275,8,674
273,2308,3865,3,630
274,2699,3629,4,177
275,1106,1135,9,715
276,4154,803,8,752
277,1219,3411,9,931
278,3454,3423,6,791
279,422,4414,5,293
280,1622,584,2,454
281,622,1057,10,525
282,3348,3775,8,738
283,3959,1893,5,172
284,3939,1873,2,111
285,4441,4,5,1000
286,3065,545,4,207
287,2079,4776,8,311
288,4683,4579,10,846
289,752,2907,9,24
290,3330,1010,6,138
291,4544,1638,6,568
292,855,4807,8,229
293,3970,4881,2,41
294,2446,4902,1,554
295,4286,3968,10,776
296,2592,3983,3,63
297,3448,3264,6,357
298,4970,4087,4,406
299,3552,1904,8,582
300,3153,579,9,772
301,505,4781,9,874
302,3184,4787,4,60
303,910,2494,1,670
304,420,4873,9,562
305,4827,121,5,578
306,1245,4916,2,918
307,96,2213,8,659
308,2622,3970,5,527
309,197,4676,5,490
310,3747,623,9,958
311,4724,353,8,933
312,1925,440,6,777
313,87,3565,9,540
314,1181,4489,10,332
315,4946,3156,6,223
316,4386,483,8,983
317,1871,2500,8,275
318,908,2079,4,813
319,3642,2352,3,728
320,580,2755,5,107
321,4858,598,1,361
322,3457,593,9,786
323,488,3288,2,548
324,1491,2553,6,114
325,3790,688,5,823
326,4480,1608,1,608
327,371,4470,3,237
328,2897,2239,8,989
329,141,1320,6,539
330,2983,1183,2,391
331,4590,3204,3,555
332,4708,4163,10,288
333,3712,683,1,422
334,1190,2509,3,203
335,2809,2542,8,439
336,2817,2868,8,324
337,2756,466,1,862
338,4979,4944,5,880
339,1394,552,8,103
340,1461,1324,4,931
341,813,1563,5,997
342,3951,2693,3,981
343,662,3746,2,743
344,849,1993,9,447
345,488,167,1,298
346,3041,3746,1,637
347,4191,1807,7,961
348,866,1141,10,943
349,1286,1011,8,766
350,1725,4472,8,844
351,2143,2594,2,600
352,3620,4833,4,844
353,2949,2416,2,45
354,3203,4128,2,303
355,3622,2860,6,897
356,4258,945,6,932
357,3270,4803,3,963
358,4979,1829,1,245
359,1615,3623,3,435
360,1443,3010,6,65
361,4103,1238,4,387
362,1006,2881,9,966
363,1930,3071,8,950
364,342,350,8,832
365,1073,101,9,394
366,2067,212,8,69
367,4933,114,2,430
368,3891,1935,1,972
369,945,13,3,375
370,3809,62,3,361
