inventory_id,product_id,quantity_available,last_update_date
1,285,41,2023-04-16 04:13:31
2,4467,60,2023-02-04 11:13:24
3,1533,31,2023-03-28 16:11:23
4,4986,92,2022-11-12 12:22:50
5,943,91,2023-03-03 01:47:05
6,1054,97,2023-04-28 15:55:16
7,4418,14,2023-07-05 17:29:16
8,1185,50,2023-03-02 15:58:45
9,3155,35,2023-05-20 12:40:26
10,2644,11,2023-04-13 18:48:15
11,2413,45,2023-02-27 23:02:51
12,3008,63,2022-11-05 22:32:25
13,1937,91,2023-03-20 13:14:21
14,1101,37,2023-03-17 06:37:53
15,735,98,2022-12-17 04:09:48
16,4980,96,2023-03-19 19:56:34
17,4747,14,2023-05-20 02:51:06
18,676,76,2022-10-20 00:44:12
19,3965,64,2023-01-14 18:36:45
20,3914,80,2023-04-03 17:30:34
21,3864,6,2023-03-17 11:55:09
22,4803,89,2023-08-25 00:16:21
23,769,81,2022-12-05 01:26:27
24,2617,21,2023-03-17 17:57:55
25,3114,32,2022-11-10 16:14:17
26,4043,18,2023-09-03 08:20:23
27,2755,16,2023-04-09 17:49:42
28,4999,40,2023-02-05 22:56:33
29,764,60,2022-11-10 16:26:38
30,4784,79,2022-09-29 07:40:52
31,777,56,2023-07-23 12:30:48
32,818,63,2023-08-01 00:17:30
33,1588,2,2022-12-08 12:14:52
34,2758,9,2023-03-18 02:58:35
35,185,33,2023-09-19 04:28:29
36,4845,84,2023-09-03 22:02:39
37,234,41,2023-03-09 01:00:10
38,3198,1,2023-08-09 12:04:13
39,146,25,2023-04-23 07:13:34
40,2410,47,2023-05-17 23:46:48
41,2336,87,2022-12-28 21:14:02
42,3221,46,2023-04-15 17:43:19
43,4919,22,2023-05-20 23:01:20
44,612,11,2023-06-27 20:16:15
45,1223,84,2023-08-10 13:46:56
46,2694,36,2023-03-18 08:53:53
47,449,5,2023-08-14 17:42:15
48,4620,5,2023-01-09 23:43:21
49,3423,1,2023-06-05 23:32:47
50,3287,51,2023-05-01 07:58:48
51,1569,64,2022-10-07 14:13:12
52,3843,83,2023-03-01 18:17:23
53,1746,21,2022-11-09 14:08:50
54,83,12,2023-08-20 17:19:14
55,3242,35,2023-05-29 03:22:56
56,8,53,2023-08-23 21:13:28
57,1819,32,2023-03-10 11:40:47
58,4886,64,2023-07-20 07:55:10
59,4009,37,2023-04-08 09:39:11
60,2259,6,2023-07-27 08:12:45
61,3582,41,2023-05-29 04:23:17
62,4048,5,2022-10-27 16:47:51
63,893,47,2022-12-29 21:57:36
64,1845,8,2023-04-19 16:50:52
65,3093,2,2023-09-09 06:51:37
66,3911,30,2022-11-30 19:32:25
67,541,75,2022-11-17 22:33:53
68,2215,100,2022-11-20 11:32:23
69,4975,21,2023-05-27 07:43:27
70,2848,74,2022-12-19 08:39:43
71,1578,100,2023-04-13 06:01:35
72,266,45,2023-09-08 08:00:26
73,1669,93,2023-06-10 23:33:43
74,2384,30,2023-07-15 02:34:15
75,3729,98,2023-08-10 01:41:00
76,3887,38,2022-12-13 05:46:07
77,4770,54,2023-08-01 10:18:47
78,234,63,2023-07-21 16:55:03
79,830,90,2023-04-04 08:43:33
80,3403,2,2022-12-03 11:54:16
81,2216,90,2022-10-29 15:32:19
82,326,4,2022-12-04 02:11:20
83,4640,23,2023-05-28 14:07:57
84,2897,41,2023-03-28 01:17:30
85,2135,76,2023-03-28 21:02:04
86,3728,94,2023-04-23 05:19:21
87,3571,82,2023-03-28 06:56:18
88,351,68,2023-08-10 10:33:52
89,285,36,2023-02-25 03:22:20
90,2437,35,2023-04-08 00:06:52
91,2215,73,2023-09-13 04:15:13
92,2105,66,2023-06-05 02:58:54
93,4434,90,2022-12-24 02:40:30
94,1166,80,2022-11-22 13:25:02
95,4892,2,2022-12-06 00:10:27
96,4657,77,2023-03-07 22:11:21
97,1581,65,2023-08-09 08:37:12
98,2454,8,2022-11-20 15:06:43
99,819,97,2023-05-13 06:54:36
100,3628,16,2023-06-16 19:58:35
101,2098,19,2023-02-07 09:37:59
102,3603,24,2023-08-13 09:24:25
103,425,18,2022-11-30 23:37:53
104,1166,39,2023-07-02 19:14:07
105,610,30,2022-10-15 02:53:04
106,1187,89,2022-11-01 14:11:48
107,3038,90,2023-05-11 19:57:23
108,4402,71,2022-10-12 04:45:53
109,4561,61,2023-07-12 02:25:39
110,2370,74,2022-12-28 07:05:58
111,91,52,2023-07-06 23:42:32
112,3462,10,2023-06-02 15:00:29
113,2138,94,2023-02-10 00:43:44
114,2604,5,2022-11-05 09:19:59
115,448,16,2023-08-08 02:30:03
116,963,97,2023-03-14 05:19:29
